agency_id,metric_key,value_numeric,value_text,unit,period_year,as_of_date,source_name,source_url,source_pub_date,confidence,notes,collected_at
US-DC,investigations_per_investigator_derived,105.42,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = cps_investigations_annual (3795, 2024) / caseworker_headcount (36, 2024). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-FL,children_per_caseworker_derived,8.79,,ratio,2025,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (19334, 2023) / caseworker_headcount (2200, 2025). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-FL,investigations_per_investigator_derived,84.27,,ratio,2025,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = cps_investigations_annual (185390, 2024) / caseworker_headcount (2200, 2025). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-GA,children_per_caseworker_derived,4.7,,ratio,2025,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,low,"Derived = children_in_foster_care (10350, 2024) / caseworker_headcount (2200, 2025). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-GA,investigations_per_investigator_derived,15.9,,ratio,2025,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,low,"Derived = cps_investigations_annual (34970, 2020) / caseworker_headcount (2200, 2025). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-IA,investigations_per_investigator_derived,75.82,,ratio,2023,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,high,"Derived = cps_investigations_annual (26613, 2023) / caseworker_headcount (351, 2023). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-IL,children_per_caseworker_derived,5.15,,ratio,2025,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,low,"Derived = children_in_foster_care (20000, 2024) / caseworker_headcount (3886, 2025). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-IN,children_per_caseworker_derived,6.0,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (12000, 2024) / caseworker_headcount (2000, 2024). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-LA,children_per_caseworker_derived,2.86,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,high,"Derived = children_in_foster_care (4400, 2024) / caseworker_headcount (1541, 2024). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-LA,investigations_per_investigator_derived,14.21,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,high,"Derived = cps_investigations_annual (21901, 2024) / caseworker_headcount (1541, 2024). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-MA,investigations_per_investigator_derived,16.97,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,high,"Derived = cps_investigations_annual (45141, 2024) / caseworker_headcount (2660, 2023). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-MD,children_per_caseworker_derived,3.49,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (3635, 2024) / caseworker_headcount (1042, 2023). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-ME,children_per_caseworker_derived,13.04,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (2373, 2024) / caseworker_headcount (182, 2024). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-MO,children_per_caseworker_derived,11.39,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (12000, 2024) / caseworker_headcount (1054, 2022). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-MT,children_per_caseworker_derived,9.72,,ratio,2026,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (1749, 2026) / caseworker_headcount (180, 2019). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-MT,investigations_per_investigator_derived,40.56,,ratio,2022,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = cps_investigations_annual (7301, 2022) / caseworker_headcount (180, 2019). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
US-NJ,children_per_caseworker_derived,1.08,,ratio,2024,,Derived (CWW-DB),https://github.com/blaggr/Claude/tree/main/child-welfare-workforce,,medium,"Derived = children_in_foster_care (2707, 2024) / caseworker_headcount (2500, 2020). Headcount scope varies by state; compare with caution.",2026-06-18T04:38:47+00:00
