agency_id,metric_key,value_numeric,value_text,unit,period_year,as_of_date,source_name,source_url,source_pub_date,confidence,notes
US-MA,caseworker_headcount,2660,,count,2023,,The Boston Globe,https://www.bostonglobe.com/2024/11/19/metro/dcf-foster-children-parents-massachusetts/,2024-11-19,high,"Fewest caseworkers in seven years per Globe analysis; corroborated by NEPM and NCCPR"
US-MA,caseworker_turnover_rate_pct,16,,pct,2023,,New England Public Media,https://www.nepm.org/regional-news/2024-12-05/a-revolving-door-high-turnover-among-dcf-caseworkers-adds-to-instability-for-children-parents,2024-12-05,medium,"Nearly 16% turnover since 2021; cites Boston Globe analysis"
US-MA,recommended_caseload_standard,15,,count,2023,,MA DCF / SEIU 509 caseload agreement,https://www.mass.gov/news/baker-polito-administration-and-seiu-local-509-announce-significant-reforms-at-the-department-of-children-and-families,,high,"CWLA-recommended 15 cases per worker; 28-child cap per worker"
US-MA,avg_caseload_per_caseworker,20,,count,2023,,New England Public Media,https://www.nepm.org/regional-news/2024-12-05/a-revolving-door-high-turnover-among-dcf-caseworkers-adds-to-instability-for-children-parents,2024-12-05,low,"Reported caseloads 'north of 20' vs 15 standard as of Oct 2023; approximate"
US-MA,annual_preservice_training_hours,30,,hours,2024,2024-06-30,MA DCF Annual Report FY2024,https://malegislature.gov/Reports/30015/DCF%20ANNUAL%20REPORT%20FY2024_Final.pdf,2025,medium,"30-hour annual ongoing training requirement; ongoing rather than strictly preservice"
US-MA,cps_referrals_annual,92819,,count,2024,2024-06-30,MA DCF Annual Report FY2024,https://malegislature.gov/Reports/30015/DCF%20ANNUAL%20REPORT%20FY2024_Final.pdf,2025,high,"51A protective intakes received FY2024"
US-MA,cps_investigations_annual,45141,,count,2024,2024-06-30,MA DCF Annual Report FY2024,https://malegislature.gov/Reports/30015/DCF%20ANNUAL%20REPORT%20FY2024_Final.pdf,2025,high,"51A reports screened-in (49%) for CPS Response FY2024"
US-MA,caseworker_entry_salary_usd,38821,,usd,2025,,GovSalaries,https://govsalaries.com/salaries/MA/department-of-children-and-families/j/social-worker-i-dcf,,low,"25th-pct pay Social Worker I-DCF; aggregator, not official scale"
US-MA,caseworker_median_salary_usd,57299,,usd,2025,,GovSalaries,https://govsalaries.com/salaries/MA/department-of-children-and-families/j/social-worker-i-dcf,,low,"Average Social Worker I-DCF salary; aggregator data"
US-MA,min_education_required,,Bachelor's degree,,2024,,MA DCF Social Worker I job posting,https://massanf.taleo.net/careersection/ex/jobdetail.ftl?job=958109,,high,"Bachelor's in social work or related human services field"
US-MA,licensure_required,,Yes,,2024,,MA DCF Social Worker I job posting,https://massanf.taleo.net/careersection/ex/jobdetail.ftl?job=958109,,high,"MA social work license required within 9 months of hire"
US-IN,caseworker_headcount,2000,,count,2024,,Indiana Capital Chronicle,https://indianacapitalchronicle.com/2023/11/27/dcs-annual-staffing-report-nearly-100-statewide/,2025-10-07,medium,"Reported as 'more than 2,000' family case managers SFY2024; approximate"
US-IN,caseworker_turnover_rate_pct,37,,pct,2024,,Indiana Capital Chronicle / DCS Staffing Report SFY2024,https://www.in.gov/dcs/files/DCS_Staffing_and_Caseload_Report_SFY_2024.pdf,2025-10-07,high,"FCM turnover SFY2024 up from 33% in SFY2023"
US-IN,recommended_caseload_standard,,12 assessments / 12 in-home families / 13 out-of-home children,count,2024,,Indiana DCS Staffing and Caseload Report SFY2024 (IC 31-25-2-5),https://www.in.gov/dcs/files/DCS_Staffing_and_Caseload_Report_SFY_2024.pdf,2024-11-01,high,"Statutory 12/12/13 standard"
US-IN,pct_caseworkers_over_standard,63,,pct,2024,,Indiana DCS Staffing and Caseload Report SFY2024,https://www.in.gov/dcs/files/DCS_Staffing_and_Caseload_Report_SFY_2024.pdf,2024-11-01,medium,"Derived: only 37% of 19 regions met standard; region-level not worker-level"
US-IN,children_in_foster_care,12000,,count,2024,,Indiana Capital Chronicle,https://indianacapitalchronicle.com/2025/10/07/dcs-sees-one-year-increase-in-fosters-as-national-numbers-decline/,2025-10-07,medium,"'nearly 12,000' on last day FFY2024; approximate"
US-IN,caseworker_entry_salary_usd,47320,,usd,2024,,Indiana DCS Careers - Family Case Managers,https://www.in.gov/dcs/careers/family-case-managers/,2024-01-01,medium,"Starting salary new FCM per DCS postings"
US-IN,min_education_required,,Bachelor's degree plus 15 semester hours in a related human-services field,,2024,,Indiana DCS Careers - Family Case Managers,https://www.in.gov/dcs/careers/family-case-managers/,2024-01-01,medium,"Social work degree not strictly required"
US-IN,licensure_required,,No,,2024,,Indiana DCS Careers - Family Case Managers,https://www.in.gov/dcs/careers/family-case-managers/,2024-01-01,low,"No social work license required; bachelor's degree required"
US-IN,bls_social_workers_employment,6270,,count,2024,,BLS OEWS 21-1021 Indiana,https://www.bls.gov/oes/current/oes211021.htm,2025-05-01,low,"Per search snippet May 2024 OEWS; not directly verified (bls.gov blocked)"
US-IN,bls_social_workers_mean_wage_usd,55130,,usd,2024,,BLS OEWS 21-1021 Indiana,https://www.bls.gov/oes/current/oes211021.htm,2025-05-01,low,"Per search snippet; unverified (bls.gov blocked)"
US-IN,bls_social_workers_median_wage_usd,48730,,usd,2024,,BLS OEWS 21-1021 Indiana,https://www.bls.gov/oes/current/oes211021.htm,2025-05-01,low,"Per search snippet; unverified (bls.gov blocked)"
US-AR,budgeted_caseworker_positions,1423,,count,2025,2025-05-28,Arkansas Advocate,https://arkansasadvocate.com/2025/05/28/staffing-struggles-continue-for-arkansas-foster-care-system/,2025-05-28,high,"Total DCFS positions all roles not solely caseworkers; DCFS quarterly report"
US-AR,vacancy_count,263,,count,2025,2025-05-28,Arkansas Advocate,https://arkansasadvocate.com/2025/05/28/staffing-struggles-continue-for-arkansas-foster-care-system/,2025-05-28,high,"263 of 1423 DCFS positions vacant"
US-AR,vacancy_rate_pct,18.5,,pct,2025,2025-05-28,Arkansas Advocate,https://arkansasadvocate.com/2025/05/28/staffing-struggles-continue-for-arkansas-foster-care-system/,2025-05-28,medium,"Computed 263/1423; all DCFS positions not solely caseworkers"
US-AR,caseworker_turnover_rate_pct,55.5,,pct,2024,,Arkansas Senate / DCFS quarterly report,https://senate.arkansas.gov/senate-news/posts/2025/08/private-organizations-help-dcfs-provide-services-to-foster-children/,2025-08,medium,"Family Service Worker turnover SFY2024"
US-AR,caseworker_turnover_rate_pct,46.24,,pct,2025,,Arkansas Senate / DCFS quarterly report,https://senate.arkansas.gov/senate-news/posts/2025/08/private-organizations-help-dcfs-provide-services-to-foster-children/,2025-08,medium,"FSW turnover SFY2025 partial year; improved from SFY2024"
US-AR,avg_caseload_per_caseworker,17,,count,2025,2025-06-30,Arkansas Senate / DCFS,https://senate.arkansas.gov/senate-news/posts/2025/08/private-organizations-help-dcfs-provide-services-to-foster-children/,2025-08,medium,"Average ~17 cases per employee mid-2025"
US-AR,children_in_foster_care,3384,,count,2025,2025-03-31,Arkansas Advocate,https://arkansasadvocate.com/2025/05/28/staffing-struggles-continue-for-arkansas-foster-care-system/,2025-05-28,high,"As of March 31 2025; down from 3553 on July 1 2024"
US-AR,caseworker_entry_salary_usd,52442,,usd,2025,2025-05-28,Arkansas Advocate,https://arkansasadvocate.com/2025/05/28/staffing-struggles-continue-for-arkansas-foster-care-system/,2025-05-28,medium,"Average starting salary social service workers after pay plan"
US-KS,children_in_foster_care,5792,,count,2024,2024-12-18,Kansas DCF SFY2024 via KLRD,https://klrd.gov/2024/12/18/foster-care-update/,2024-12-18,medium,"SFY2024; down 24% from 7588 in SFY2019"
US-KS,budgeted_caseworker_positions,2590.8,,count,2025,,Kansas Division of Budget DCF FY2025,https://budget.kansas.gov/wp-content/uploads/629-DCF-FY-2025.pdf,2024,medium,"Total agency FTE all DCF roles not solely CPS"
US-KS,vacancy_count,323,,count,2025,,Kansas Division of Budget DCF FY2025,https://budget.kansas.gov/wp-content/uploads/629-DCF-FY-2025.pdf,2024,medium,"Positions held vacant for budget shrinkage; agency-wide"
