ts,open,high,low,close
2024-01-11T13:30:00Z,470.00,470.10,469.90,470.00
2024-01-11T13:31:00Z,470.20,470.30,470.10,470.20
2024-01-11T13:35:00Z,470.50,470.70,470.40,470.60
2024-01-11T13:40:00Z,471.10,471.30,471.00,471.20
2024-01-11T13:50:00Z,471.80,472.00,471.70,471.90
2024-01-11T14:00:00Z,472.10,472.30,472.00,472.20
2024-01-11T14:05:00Z,472.40,472.60,472.30,472.50
2024-02-13T13:30:00Z,490.00,490.10,489.90,490.00
2024-02-13T13:31:00Z,489.70,489.80,489.50,489.60
2024-02-13T13:35:00Z,489.20,489.40,489.00,489.10
2024-02-13T13:40:00Z,488.50,488.70,488.30,488.40
2024-02-13T13:50:00Z,487.80,488.00,487.60,487.70
2024-02-13T14:00:00Z,487.30,487.50,487.10,487.20
2024-02-13T14:05:00Z,486.90,487.10,486.70,486.80
2024-03-12T13:30:00Z,505.00,505.20,504.80,505.00
2024-03-12T13:31:00Z,505.00,505.20,504.80,505.00
2024-03-12T13:35:00Z,505.00,505.20,504.80,505.00
2024-03-12T13:40:00Z,505.00,505.20,504.80,505.00
2024-03-12T13:50:00Z,505.00,505.20,504.80,505.00
2024-03-12T14:00:00Z,505.00,505.20,504.80,505.00
2024-03-12T14:05:00Z,505.00,505.20,504.80,505.00
